2026-06-04 17:24:06,720 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:07,560 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:07,606 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:08,444 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:08,489 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:09,323 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:09,369 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:10,206 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:10,254 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:11,095 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:11,142 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:11,983 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:12,036 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:12,875 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:12,929 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:13,778 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:13,823 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:14,670 | ERROR | Thread-7 (_loop_solver_button) | Erro PyAutoGUI: expected an image filename, OpenCV numpy array, or PIL image
2026-06-04 17:24:14,723 | ERROR | Thread-7 (_loop_solver_button) | TypeError('expected an image filename, OpenCV numpy array, or PIL image')
2026-06-04 17:24:15,396 | ERROR | MainThread | 🚀 Iniciando processamento em lote (3 Chromes)...
2026-06-04 17:24:15,397 | ERROR | MainThread | 🟡 _processar_proximo chamado Worker 1
2026-06-04 17:24:15,397 | ERROR | MainThread | 📦 Worker 1 fila restante: 9
2026-06-04 17:24:15,397 | ERROR | MainThread | 🚀 Worker 1 iniciou processo 906452724
2026-06-04 17:24:15,397 | ERROR | MainThread | 🧵 Worker thread START 1
2026-06-04 17:24:15,397 | ERROR | MainThread | 🟡 _processar_proximo chamado Worker 2
2026-06-04 17:24:15,397 | ERROR | MainThread | 📦 Worker 2 fila restante: 9
2026-06-04 17:24:15,398 | ERROR | MainThread | 🚀 Worker 2 iniciou processo 906452376
2026-06-04 17:24:15,398 | ERROR | Dummy-9 | 🚀 Worker 1 iniciando
2026-06-04 17:24:15,398 | ERROR | MainThread | 🧵 Worker thread START 2
2026-06-04 17:24:15,398 | ERROR | Dummy-9 | 🚀 PIPELINE START worker 1 | 906452724
2026-06-04 17:24:15,398 | ERROR | Dummy-9 | LOGIN 1
2026-06-04 17:24:15,398 | ERROR | MainThread | 🟡 _processar_proximo chamado Worker 3
2026-06-04 17:24:15,398 | ERROR | Dummy-9 | GARANTIR LOGIN INICIO
2026-06-04 17:24:15,398 | ERROR | MainThread | 📦 Worker 3 fila restante: 8
2026-06-04 17:24:15,398 | ERROR | Dummy-9 | <selenium.webdriver.chrome.webdriver.WebDriver (session="8434c24134ed3767626ff7b0afc9c07d")>
2026-06-04 17:24:15,398 | ERROR | Dummy-10 | 🚀 Worker 2 iniciando
2026-06-04 17:24:15,398 | ERROR | Dummy-9 | 8434c24134ed3767626ff7b0afc9c07d
